k,factors,No. Cycles,Cycles,Origin,N,U,D
1,[],0,[],[],[],[],[]
3,[3],0,[],[],[],[],[]
5,[5],5,"[5, 5, 5, 5, 5]","[1, 19, 23, 187, 347]","[3, 5, 5, 27, 27]","[1, 3, 3, 17, 17]","[2, 2, 2, 10, 10]"
7,[7],1,[7],[5],[4],[2],[2]
9,"[3, 3]",0,[],[],[],[],[]
11,[11],2,"[11, 11]","[1, 13]","[6, 14]","[2, 8]","[4, 6]"
13,[13],9,"[13, 13, 13, 13, 13, 13, 13, 13, 13]","[1, 131, 211, 259, 227, 287, 251, 283, 319]","[4, 24, 8, 8, 8, 8, 8, 8, 8]","[1, 15, 5, 5, 5, 5, 5, 5, 5]","[3, 9, 3, 3, 3, 3, 3, 3, 3]"
15,"[3, 5]",5,"[5, 5, 5, 5, 5]","[57, 3, 69, 561, 1041]","[5, 3, 5, 27, 27]","[3, 1, 3, 17, 17]","[2, 2, 2, 10, 10]"
17,[17],2,"[17, 17]","[1, 23]","[7, 31]","[2, 18]","[5, 13]"
19,[19],1,[19],[5],[11],[5],[6]
21,"[3, 7]",1,[7],[15],[4],[2],[2]
23,[23],3,"[23, 23, 23]","[41, 5, 7]","[43, 5, 5]","[26, 2, 2]","[17, 3, 3]"
25,"[5, 5]",7,"[25, 25, 5, 5, 5, 5, 5]","[7, 17, 5, 95, 115, 935, 1735]","[16, 8, 3, 5, 5, 27, 27]","[8, 4, 1, 3, 3, 17, 17]","[8, 4, 2, 2, 2, 10, 10]"
27,"[3, 3, 3]",0,[],[],[],[],[]
29,[29],4,"[29, 29, 29, 29]","[1, 11, 3811, 7055]","[5, 17, 65, 65]","[1, 9, 41, 41]","[4, 8, 24, 24]"
31,[31],1,[31],[13],[23],[12],[11]
33,"[3, 11]",2,"[11, 11]","[39, 3]","[14, 6]","[8, 2]","[6, 4]"
35,"[5, 7]",8,"[35, 35, 7, 5, 5, 5, 5, 5]","[13, 17, 25, 7, 133, 161, 1309, 2429]","[8, 8, 4, 3, 5, 5, 27, 27]","[4, 4, 2, 1, 3, 3, 17, 17]","[4, 4, 2, 2, 2, 2, 10, 10]"
37,[37],3,"[37, 37, 37]","[19, 23, 29]","[6, 6, 6]","[3, 3, 3]","[3, 3, 3]"
39,"[3, 13]",9,"[13, 13, 13, 13, 13, 13, 13, 13, 13]","[3, 393, 633, 777, 681, 861, 753, 849, 957]","[4, 24, 8, 8, 8, 8, 8, 8, 8]","[1, 15, 5, 5, 5, 5, 5, 5, 5]","[3, 9, 3, 3, 3, 3, 3, 3, 3]"
41,[41],1,[41],[1],[20],[8],[12]
43,[43],1,[43],[1],[11],[3],[8]
45,"[3, 3, 5]",5,"[5, 5, 5, 5, 5]","[171, 9, 207, 1683, 3123]","[5, 3, 5, 27, 27]","[3, 1, 3, 17, 17]","[2, 2, 2, 10, 10]"
47,[47],7,"[47, 47, 47, 47, 47, 47, 47]","[25, 5, 65, 89, 73, 85, 101]","[28, 18, 7, 7, 7, 7, 7]","[16, 7, 4, 4, 4, 4, 4]","[12, 11, 3, 3, 3, 3, 3]"
49,"[7, 7]",2,"[49, 7]","[25, 35]","[38, 4]","[22, 2]","[16, 2]"
51,"[3, 17]",2,"[17, 17]","[69, 3]","[31, 7]","[18, 2]","[13, 5]"
53,[53],1,[53],[103],[29],[17],[12]
55,"[5, 11]",10,"[55, 11, 55, 55, 5, 11, 5, 5, 5, 5]","[1, 5, 7, 41, 11, 65, 209, 253, 2057, 3817]","[12, 6, 6, 28, 3, 14, 5, 5, 27, 27]","[4, 2, 2, 16, 1, 8, 3, 3, 17, 17]","[8, 4, 4, 12, 2, 6, 2, 2, 10, 10]"
57,"[3, 19]",1,[19],[15],[11],[5],[6]
59,[59],7,"[59, 59, 59, 59, 59, 59, 59]","[1, 133, 181, 185, 217, 149, 221]","[28, 10, 10, 10, 10, 10, 10]","[11, 6, 6, 6, 6, 6, 6]","[17, 4, 4, 4, 4, 4, 4]"
61,[61],2,"[61, 61]","[1, 235]","[6, 66]","[1, 41]","[5, 25]"
63,"[3, 3, 7]",1,[7],[45],[4],[2],[2]
65,"[5, 13]",15,"[65, 13, 5, 5, 13, 5, 13, 13, 13, 13, 13, 13, 13, 5, 5]","[19, 5, 13, 247, 655, 299, 1055, 1295, 1135, 1435, 1255, 1415, 1595, 2431, 4511]","[24, 4, 3, 5, 24, 5, 8, 8, 8, 8, 8, 8, 8, 27, 27]","[12, 1, 1, 3, 15, 3, 5, 5, 5, 5, 5, 5, 5, 17, 17]","[12, 3, 2, 2, 9, 2, 3, 3, 3, 3, 3, 3, 3, 10, 10]"
67,[67],1,[67],[17],[30],[16],[14]
69,"[3, 23]",3,"[23, 23, 23]","[123, 21, 15]","[43, 5, 5]","[26, 2, 2]","[17, 3, 3]"
71,[71],7,"[71, 71, 71, 71, 71, 71, 71]","[29, 31, 4409, 2809, 3985, 2585, 4121]","[10, 10, 27, 27, 27, 27, 27]","[5, 5, 17, 17, 17, 17, 17]","[5, 5, 10, 10, 10, 10, 10]"
73,[73],3,"[73, 73, 73]","[19, 5, 47]","[60, 12, 15]","[32, 4, 8]","[28, 8, 7]"
