1,3,5,7,9,11,13,15,17,19,21,23,25,27,29,31,33,35,37,39,41,43,45,47,49,51,53,55,57,59,61,63,65,67,69,71,73,75,77,79,81,83,85,87,89,91,93,95,97,99,101,103,105,107,109,111,113,115,117,119,121,123,125,127,129,131,133,135,137,139,141,143,145,147,149,151,153,155,157,159,161,163,165,167,169,171,173,175,177,179,181,183,185,187,189,191,193,195,197,199
1,6,2,3,10,3,2,4,5,2,4,2,2,8,2,8,3,2,8,4,5,4,2,3,8,3,2,2,2,3,4,6,2,3,3,2,3,4,3,2,4,4,5,2,3
"(2, 6, 3, 1, 1, 3.0)","(3, 4, 1, 1, 2, 1.0)","(4, 20, 5, 2, 2, 1.0)","(6, 16, 1, 2, 4, 5.0)","(4, 8, 1, 1, 3, 1.0)","(7, 16, 1, 2, 5, 7.0)","(11, 62, 5, 5, 6, 95.0)","(43, 2488, 41, 26, 17, 271922921473.0)","(5, 16, 1, 1, 4, 1.0)","(23, 212, 13, 12, 11, 253457.0)","(6, 152, 19, 3, 3, 1.0)","(20, 256, 1, 8, 12, 25415.0)","(11, 56, 1, 3, 8, 47.0)","(28, 988, 25, 16, 12, 4795505.0)","(29, 1162, 103, 17, 12, 7693033.0)","(28, 238, 1, 11, 17, 4546751.0)","(6, 32, 1, 1, 5, 1.0)","(30, 2120, 17, 16, 14, 15383509.0)","(10, 262, 29, 5, 5, 11.0)","(60, 3194, 19, 32, 28, 1.5768061430383496e+16)","(44, 920, 1, 20, 24, 222641762785.0)","(12, 2104, 109, 7, 5, 23.0)","(17, 532, 17, 8, 9, 1399.0)","(18, 218, 1, 6, 12, 2695.0)","(14, 466, 11, 6, 8, 155.0)","(45, 590, 23, 22, 23, 341291175041.0)","(106, 18208, 1, 53, 53, 7.582207386108506e+29)","(52, 5714, 19, 30, 22, 39428518305283.0)","(29, 2128, 1, 12, 17, 4746367.0)","(37, 2060, 1, 18, 19, 1079145929.0)","(26, 760, 13, 13, 13, 500111.0)","(14, 256, 1, 4, 10, 119.0)","(136, 6422, 11, 74, 62, 6.267056343608946e+38)","(59, 58900, 19, 33, 26, 3831554978099785.0)","(72, 5708, 41, 40, 32, 3.1193435876891312e+19)","(28, 1346, 13, 12, 16, 1706395.0)","(89, 9476, 11, 49, 40, 3.795893989653126e+24)","(17, 1372, 127, 9, 8, 667.0)","(34, 1042, 7, 14, 20, 99277955.0)","(110, 14158, 5, 62, 48, 7.249679855917486e+30)","(20, 3464, 23, 10, 10, 5467.0)","(40, 108916, 961, 25, 15, 1320539363.0)","(66, 2120, 1, 29, 37, 3.8231558375368314e+17)","(141, 6364, 5, 69, 72, 1.415021903036519e+40)","(15, 422, 13, 6, 9, 161.0)"
 ,"(5, 76, 19, 3, 2, 1.0)","(2, 14, 7, 1, 1, 7.0)","(14, 124, 13, 8, 6, 893.0)","(2, 26, 13, 1, 1, 13.0)","(31, 280, 23, 18, 13, 103533127.0)","(2, 38, 19, 1, 1, 19.0)","(5, 40, 5, 2, 3, 1.0)","(17, 196, 11, 9, 8, 3841.0)","(2, 62, 31, 1, 1, 31.0)","(6, 98, 23, 3, 3, 1.0)","(2, 82, 41, 1, 1, 41.0)","(2, 86, 43, 1, 1, 43.0)","(18, 88, 5, 7, 11, 5531.0)","(2, 106, 53, 1, 1, 53.0)","(10, 2128, 133, 6, 4, 5.0)","(2, 122, 61, 1, 1, 61.0)","(2, 134, 67, 1, 1, 67.0)","(10, 496, 31, 5, 5, 11.0)","(12, 116, 5, 4, 8, 55.0)","(44, 830, 7, 20, 24, 222641762785.0)","(12, 1132, 157, 7, 5, 23.0)","(2, 178, 89, 1, 1, 89.0)","(9, 104, 13, 3, 6, 5.0)","(7, 232, 29, 3, 4, 1.0)","(21, 320, 5, 8, 13, 20297.0)","(2, 214, 107, 1, 1, 107.0)","(2, 218, 109, 1, 1, 109.0)","(2, 226, 113, 1, 1, 113.0)","(37, 764, 41, 18, 19, 1079145929.0)","(52, 3388, 23, 26, 26, 34359219553757.0)","(72, 6424, 41, 40, 32, 3.438108625847145e+19)","(2, 278, 139, 1, 1, 139.0)","(2, 298, 149, 1, 1, 149.0)","(18, 1550, 113, 10, 8, 1345.0)","(2, 314, 157, 1, 1, 157.0)","(72, 4454, 17, 36, 36, 2.8970652688554283e+19)","(47, 886, 13, 20, 27, 842718572281.0)","(17, 376, 37, 7, 10, 745.0)","(2, 358, 179, 1, 1, 179.0)","(20, 1520, 55, 10, 10, 5467.0)","(46, 2374, 47, 24, 22, 366944055713.0)","(24, 1508, 31, 12, 12, 84175.0)","(2, 394, 197, 1, 1, 197.0)","(15, 440, 47, 6, 9, 161.0)"
 ,"(2, 10, 5, 1, 1, 5.0)", ,"(2, 22, 11, 1, 1, 11.0)","(24, 2786, 131, 15, 9, 186793.0)","(2, 34, 17, 1, 1, 17.0)", ,"(5, 28, 7, 2, 3, 1.0)","(2, 58, 29, 1, 1, 29.0)", ,"(6, 116, 29, 3, 3, 1.0)", , ,"(7, 520, 65, 4, 3, 1.0)", ,"(10, 1156, 181, 6, 4, 5.0)","(66, 49916, 235, 41, 25, 6.1170458881422e+17)", ,"(2, 142, 71, 1, 1, 71.0)","(15, 404, 47, 8, 7, 359.0)","(2, 158, 79, 1, 1, 79.0)","(24, 3292, 65, 14, 10, 144509.0)", ,"(2, 194, 97, 1, 1, 97.0)","(14, 448, 7, 6, 8, 155.0)","(2, 206, 103, 1, 1, 103.0)", , , ,"(2, 254, 127, 1, 1, 127.0)","(26, 814, 17, 13, 13, 500111.0)","(29, 160000, 503, 18, 11, 1090879.0)", ,"(42, 11596, 667, 26, 16, 12457588475.0)","(2, 302, 151, 1, 1, 151.0)", ,"(2, 326, 163, 1, 1, 163.0)","(17, 1084, 95, 9, 8, 667.0)","(2, 346, 173, 1, 1, 173.0)", ,"(80, 16100, 11, 40, 40, 6.679081005244034e+21)","(2, 382, 191, 1, 1, 191.0)","(18, 320, 5, 5, 13, 1357.0)", ,"(2, 398, 199, 1, 1, 199.0)"
 ,"(5, 58, 23, 3, 2, 1.0)", , ,"(8, 1688, 211, 5, 3, 1.0)", , ,"(2, 46, 23, 1, 1, 23.0)","(65, 3415660, 3811, 41, 24, 1.44997162154592e+16)", ,"(2, 74, 37, 1, 1, 37.0)", , ,"(7, 412, 89, 4, 3, 1.0)", ,"(2, 118, 59, 1, 1, 59.0)", , ,"(27, 96976, 4409, 17, 10, 71515.0)","(2, 146, 73, 1, 1, 73.0)","(23, 3728, 233, 14, 9, 45641.0)","(2, 166, 83, 1, 1, 83.0)", , ,"(7, 304, 19, 3, 4, 1.0)", , , , , ,"(2, 262, 131, 1, 1, 131.0)","(2, 274, 137, 1, 1, 137.0)", , , , , ,"(2, 334, 167, 1, 1, 167.0)", , ,"(2, 362, 181, 1, 1, 181.0)","(40, 45736, 2405, 25, 15, 1320539363.0)","(84, 27428, 91, 50, 34, 9.650215091265395e+22)", , 
 ,"(27, 4162, 187, 17, 10, 1015513.0)", , ,"(8, 1364, 259, 5, 3, 1.0)", , , ,"(65, 1577104, 7055, 41, 24, 1.44997162154592e+16)", , , , ,"(7, 358, 73, 4, 3, 1.0)", ,"(10, 1480, 185, 6, 4, 5.0)", , ,"(27, 59878, 2809, 17, 10, 71515.0)", ,"(23, 2774, 265, 14, 9, 45641.0)", , , ,"(7, 184, 23, 3, 4, 1.0)", , , , , , ,"(29, 26836, 967, 18, 11, 1090879.0)", , , , , , , , , , ,"(2, 386, 193, 1, 1, 193.0)", , 
 ,"(27, 5098, 347, 17, 10, 1015513.0)", , ,"(8, 1202, 227, 5, 3, 1.0)", , , , , , , , ,"(7, 340, 85, 4, 3, 1.0)", ,"(10, 868, 217, 6, 4, 5.0)", , ,"(27, 52174, 3985, 17, 10, 71515.0)", , , , , ,"(7, 196, 31, 3, 4, 1.0)", , , , , , ,"(29, 13714, 743, 18, 11, 1090879.0)", , , , , , , , , , , , , 
 , , , ,"(8, 1148, 287, 5, 3, 1.0)", , , , , , , , ,"(2, 94, 47, 1, 1, 47.0)", ,"(10, 1192, 149, 6, 4, 5.0)", , ,"(27, 82720, 2585, 17, 10, 71515.0)", , , , , ,"(7, 148, 37, 3, 4, 1.0)", , , , , , , , , , , , , , , , , , , , 
 , , , ,"(8, 1004, 251, 5, 3, 1.0)", , , , , , , , ,"(7, 286, 101, 4, 3, 1.0)", ,"(10, 886, 221, 6, 4, 5.0)", , ,"(27, 80686, 4121, 17, 10, 71515.0)", , , , , ,"(2, 202, 101, 1, 1, 101.0)", , , , , , , , , , , , , , , , , , , , 
 , , , ,"(8, 986, 283, 5, 3, 1.0)", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , ,"(8, 842, 319, 5, 3, 1.0)", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
